ticker,yearReport,CURRENT ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Short-term investments (Bn. VND),Accounts receivable (Bn. VND),Net Inventories,Other current assets,LONG-TERM ASSETS (Bn. VND),Long-term loans receivables (Bn. VND),Fixed assets (Bn. VND),Long-term investments (Bn. VND),Goodwill,Other non-current assets,TOTAL ASSETS (Bn. VND),LIABILITIES (Bn. VND),Current liabilities (Bn. VND),Long-term liabilities (Bn. VND),OWNER'S EQUITY(Bn.VND),Capital and reserves (Bn. VND),Other Reserves,Undistributed earnings (Bn. VND),Budget sources and other funds,MINORITY INTERESTS,TOTAL RESOURCES (Bn. VND),Prepayments to suppliers (Bn. VND),Short-term loans receivables (Bn. VND),"Inventories, Net (Bn. VND)",Other current assets (Bn. VND),Investment and development funds (Bn. VND),Common shares (Bn. VND),Paid-in capital (Bn. VND),Long-term borrowings (Bn. VND),Advances from customers (Bn. VND),Short-term borrowings (Bn. VND),Good will (Bn. VND),Long-term prepayments (Bn. VND),Other long-term assets (Bn. VND),Other long-term receivables (Bn. VND),Long-term trade receivables (Bn. VND)
FPT,2025,58102970741619,10540181640920,29612986737440,14400800569076,2167188682919,1381813111264,29986651038243,5278733014,17330033606586,4737863994182,0,5749495414786,88089621779862,44338155487272,41552785100161,2785370387111,43751466292590,43748716292590,3499547369952,14324284500434,2750000000,7265098386273,88089621779862,915176652285,9195910819,2250812490757,0,1556932891952,17035071210000,17035071210000,1903789988184,761332738428,19169697497955,1015730266161,4200230383066,3823762975906,611435814893,564342065270
FPT,2024,45535942846453,9315440438884,21785213686808,11381523992803,1856756949030,1197007778928,26464052832167,2509722351,14816131186204,3318095237260,0,5438413518284,71999995678620,36272455573820,34836184067740,1436271506080,35727540104800,35724790104800,1929012703454,11030528671431,2750000000,5933309621004,71999995678620,610379845664,9808117590,1990224486513,0,2033289141535,14710691830000,14710691830000,501115537075,562066755666,14446238451323,1097458206678,3765187625417,3393737969842,381508926294,331646166008
FPT,2023,36705751751876,8279156683221,16104205358010,9674343237344,1593411075233,1054635398068,23577075781023,0,13643232649833,3335009108332,0,5036171784305,60282827532899,30349816316666,29651673556227,698142760439,29933011216233,29930261216233,1928602158147,8674126708670,2750000000,4958854855687,60282827532899,482074732731,515430000,1724956924671,0,1549850939920,12699688750000,12699688750000,208074996962,602010036721,13837894474107,1283790079129,3391434748762,2830348813038,299764585187,247392102550
FPT,2022,30937711076141,6440177174322,13047234131950,8502895161839,1965787736563,981616871467,20712692658989,1189922137,12032914964907,3238299217787,0,4154202857855,51650403735130,26294279047318,24521161696202,1773117351116,25356124687812,25353374687812,1179064868147,7711681484541,2750000000,4309656273198,51650403735130,292916357080,882560901,2121118039562,0,1086270726048,10970265720000,10970265720000,1477830333990,491097603761,10904344845014,407944847961,3488252134893,2399073118584,276273436689,225090876189
FPT,2021,35118372900846,5417845293242,20730720735456,6882182894987,1507342901619,580281075542,18579567995029,2268758773,10398837546784,3101993693319,0,3620893889359,53697940895875,32279955665838,29761106035257,2518849630581,21417985230037,21415235230037,1178174776366,7000480585004,2750000000,3477041138837,53697940895875,400707131836,34762220000,1623315328554,0,570491625643,9075516490000,9075516490000,2296308493046,710658541296,17799441187777,465985410327,2972696947589,1931006629408,219704534928,167244119883
FPT,2020,25265933056476,4686191374038,12435918124269,6265411863371,1290091524352,588320170446,16468390178718,93992225574,8317822707614,2581174954052,0,2953126357161,41734323235194,23128655834466,22364710509820,763945324646,18605667400728,18602917400728,920081410199,6390906128452,2750000000,2860094124424,41734323235194,459336196478,185532228683,1405083502315,0,442371579941,7839874860000,7839874860000,677796913413,465157577125,12062410192740,200034225027,2613622547729,903457236286,203229811570,242872863326
FPT,2019,18979176128930,3453388617569,6708978162325,6536251148622,1284200733943,996357466471,14414988134764,47427917600,7492167954088,2496552054488,225929415272,2287383247074,33394164263694,16594874862688,16102256902439,492617960249,16799289401006,16796539401006,765332464859,5960676956469,2750000000,2835086450361,33394164263694,274779131899,394176861,1349958901393,0,307526573229,6783586880000,6783586880000,349769099942,398628905824,7513635654008,0,2247131962711,893623994517,269405846568,262484590350
FPT,2018,18406087226041,3925727206293,5568623727137,6426946279074,1340687216347,1144102797190,11350979923527,392794707,6513735578258,2202466649730,0,1350211370859,29757067149568,14982096384457,14451149990521,530946393936,14774970765111,14772220765111,667035271273,5293166046073,2750000000,2301851329197,29757067149568,218427501076,910049188,1401302666378,0,222962521203,6136367720000,6136367720000,366793322852,418652248691,6598868849348,326017723180,986963791569,793360844792,164124620038,109788240927
FPT,2017,16059937820645,3480659514788,4379446212073,6151782399408,1020212423590,1027837270786,8939739075221,0,5247285021701,1783369007284,0,871868027531,24999676895866,11761300662093,11100344738740,660955923353,13238376233773,13235626233773,287829523052,5511408650206,2750000000,1809385579397,24999676895866,95340696039,0,1024043952523,0,171160597046,5309611050000,5309611050000,565209817637,561261495876,4116988708324,0,811433621590,749259852282,124834616306,231657122488
FPT,2016,21908662957423,6013361389774,3472087285737,6640135921823,4553808475949,1229269884140,7924598856728,0,4589983193268,826327509802,0,1106341813359,29833261814151,18385186549332,17429655689537,955530859795,11448075264819,11445325264819,56882670000,4614339862503,2750000000,1922952382942,29833261814151,502798063471,0,4617030139516,0,126889833508,4594266840000,4594266840000,732697612808,582218403864,9206666235567,0,1017386186501,756802393141,192339224231,380965916003
FPT,2015,18959009136105,3584709151769,2617441917720,5534209011621,5268099617220,1954549437775,7086579408323,0,4292253138079,727905697262,0,1025206626219,26045588544428,15863302791405,14967554324100,895748467305,10182285753023,10179535753023,0,4394554749025,2750000000,1601307646967,26045588544428,346030178124,0,5332031654362,0,79036549084,3975316400000,3975316400000,614354593251,296629535411,8191325008702,0,808536902438,632649372195,160161888733,348638580505
FPT,2014,16709157051316,4336282447769,1428479061776,4823596166951,4572636184140,1548163190680,5949186899417,0,3300546513939,809516549586,0,983786256196,22658343950733,13400525192639,12969956085573,430569107066,9257818758094,9255068758094,0,4268153638489,2750000000,1344473716274,22658343950733,399989196061,0,4652333244983,0,79400040851,3439766000000,3439766000000,142418459294,347339275912,6722412217259,333170444644,518808795715,725588838379,128140867635,318095904998
FPT,2013,12908243472406,2750971144015,1443449364921,4411534370955,3328880961810,973407630705,4662313781106,0,3075863270475,706727341936,231508275153,647002229017,17570557253512,9316700305301,9068740122198,247960183103,7208664664472,7205914664472,0,4207341884795,2750000000,0,17570557253512,253623307137,0,3353805593239,27779020471,78666938875,2752017550000,2752017550000,55406052179,374759654082,4166634532080,0,489423569136,663468944666,1212664525,1212664525
