ticker,yearReport,Net Profit/Loss before tax,Depreciation and Amortisation,Provision for credit losses,Unrealized foreign exchange gain/loss,Profit/Loss from investing activities,Interest Expense,Operating profit before changes in working capital,Increase/Decrease in receivables,Increase/Decrease in inventories,Increase/Decrease in payables,Increase/Decrease in prepaid expenses,Interest paid,Business Income Tax paid,Other receipts from operating activities,Other payments on operating activities,Net cash inflows/outflows from operating activities,Purchase of fixed assets,Proceeds from disposal of fixed assets,"Loans granted, purchases of debt instruments (Bn. VND)","Collection of loans, proceeds from sales of debts instruments (Bn. VND)",Investment in other entities,Proceeds from divestment in other entities,Gain on Dividend,Net Cash Flows from Investing Activities,Increase in charter captial,Payments for share repurchases,Proceeds from borrowings,Repayment of borrowings,Finance lease principal payments,Dividends paid,Cash flows from financial activities,Net increase/decrease in cash and cash equivalents,Cash and cash equivalents,Foreign exchange differences Adjustment,Cash and Cash Equivalents at the end of period
FPT,2025,13038869297304,2899524576284,630206282654,-27609502100,-2575851739008,809759601156,14774898516290,-2814386533122,-308490497072,2571038998247,-594700689216,-812474254533,-2247181121435,0,-379701452613,10189002966546,-5150805120441,7326054509,-56994522823806,49164792969282,-710700052777,23532256656,2000759047362,-11659617669215,1196235184778,0,43070812885074,-36890984827601,-986795056,-4573753577663,2801322869532,1330708166863,9315440438884,-105966964827,10540181640920
FPT,2024,11069666417819,2535298475665,1148951390915,46311803197,-1725022480893,551639361786,13626844968489,-1913663012505,-265267561842,2875571263689,-393964502357,-607154747076,-1209921507569,0,-408667711961,11703777188868,-3275312325702,14227383215,-41956569113369,36283758374630,-1106193484800,48102486048,1530174506877,-8461812173101,163342989874,0,30946282706201,-30013226682923,-2305346865,-3291859792121,-2197766125834,1044198889933,8279156683221,-7915134270,9315440438884
FPT,2023,9203006098570,2286514158688,677928749053,-34070358211,-1976268355482,832648611261,10989758903879,-1163209212196,396161114891,1380255770889,65247409505,-832038375945,-971344830054,0,-347735082564,9517095698405,-3978252082224,29269655015,-33536189070356,30458251083042,-1753619182518,94939906000,2137225525330,-6548374165711,73050500000,0,34271246237260,-32551882452709,-30169775111,-2930628448135,-1168383938695,1800337593999,6440177174322,38641914900,8279156683221
FPT,2022,7662282959880,1833064499128,880253740252,7652847077,-1986715685147,645725556308,9042263917498,-1949023327296,-497802711008,1299834862339,-633951413583,-635688969538,-1221846691729,0,-349953909983,5053831756700,-3215243200871,5662030028,-32995035947486,40669116046728,-557291900594,56400094000,1793624815520,5757231937325,77028689275,0,28120228984733,-35740054948912,-8376145424,-2222134795995,-9773308216323,1037755477702,5417845293242,-15423596622,6440177174322
FPT,2021,6337206440958,1643915685332,352207924154,-63913432668,-1700489438802,483995846804,7052923025778,-693503200106,-218231826239,1910090001449,-375543134134,-451555665838,-1045034654569,0,-339450991614,5839693554727,-2911001172725,2866890285,-35827118645179,27590009509475,-450878532336,420000000,1182811834149,-10412890116331,87611404675,0,34463706577011,-26931165232996,-1306368312,-2254183945975,5364662434403,791465872799,4686191374038,-59811953595,5417845293242
FPT,2020,5263456629967,1490607476892,313851138486,-3386721059,-1039617856401,385337754896,6410248422781,311571475172,-55124600922,1060519849887,51528448148,-401913784732,-778286928782,0,-258863848216,6339679033336,-3017645357713,3323070810,-5954091321739,0,-101172751758,31000000000,894462073316,-8144124287084,59633580760,0,20448570691368,-15570014545746,-1753793420,-1899079382925,3037356550037,1232911296289,3453388617569,-108539820,4686191374038
FPT,2019,4664530511706,1354613458881,287785755015,9525407416,-903441404801,358987537452,5772001265669,-481202921282,256058829417,305737668001,-686544368251,-338497048207,-638639276041,1946436785,-292110600306,3898749985785,-3233069745365,2251555566,-1206873685745,0,-109971962499,120174850275,582420492806,-3845068494962,71715000000,-269625000,13403998747456,-12504733393240,-1522772466,-1483558593800,-514370637050,-460689146227,3925727206293,-11649442497,3453388617569
FPT,2018,3857602555206,1164692003074,120544469503,18627355032,-761304152101,238344431747,4638506662461,-159344472867,-229108218690,644985031490,-367688759434,-263543299555,-429913433339,0,-245573417730,3588320092336,-2453675554507,773278807,-1188220715064,0,-709543569233,180229124836,473705873732,-3696731561429,26545560000,0,10281501672838,-8046946587865,0,-1707621484375,553479160598,445067691505,3480659514788,0,3925727206293
FPT,2017,4255117777507,1039416768342,184568266739,-18951655934,-1330954022321,368545679548,4497742813881,-2311600942433,-617887896217,1709299259291,-143624640180,-386409842206,-493643801955,0,-265691285266,1988183664915,-1104370928512,3873003435,-942508215806,0,0,-973833781575,408056318390,-2608783604068,39143700000,-130000000,21302571414666,-21923254763024,0,-1330432287475,-1912101935833,-2532701874986,6013361389774,0,3480659514788
FPT,2016,3013898666241,933439677116,110598342842,16019559188,-351181315186,374186078800,4096961009001,-514700144026,714102101632,1123673242082,14764983297,-359766741527,-531442237616,0,-231933719551,4311658493292,-1433113297810,4641163312,-912254841704,0,-314070117375,322220162456,308769840197,-2023807090924,66576590000,-876300000,22299129726143,-21165445479721,0,-1058583700785,140800835637,2428652238005,3584709151769,0,6013361389774
FPT,2015,2851148827721,732880119304,94014920103,-3154674532,-318812983950,262502327611,3618578536257,-863521059691,-693098534961,395158777335,-526455061497,-211922502790,-438294708886,0,-124560415953,1155885029814,-2090200759463,115905779112,-1218529160271,0,0,65345000000,226569380961,-2900909759661,30953970000,-4349500000,23921460737848,-21980611812448,0,-974001961553,993451433847,-751573296000,4336282447769,0,3584709151769
FPT,2014,2459224202037,547273646086,85434608560,-16872163837,-405697530892,166165287204,2835528049158,-680600489029,-1311691368768,1085838052344,-107329691370,-202542537509,-401600073578,0,-66562113848,1151039827400,-1440556923125,23157827856,-38195216179,0,-203239205312,0,189684494595,-1469149022165,16388910000,0,23817428762280,-21174638669986,0,-755758503775,1903420498519,1585311303754,2750971144015,0,4336282447769
FPT,2013,2515629992212,442985954392,71929294278,-38741379235,-402795583777,132491172822,2721499450692,-686587885329,-643504372095,617658722473,-64328286889,-139995347058,-440791857488,0,36180670497,1400131094803,-919555304469,8533736154,-775227472629,0,-45920974281,0,156458913777,-1575711101448,17427510000,-29420000,14216536260965,-12875984294847,0,-750313927548,607636128570,432056121925,2318915022090,0,2750971144015
