ticker,yearReport,Revenue YoY (%),Revenue (Bn. VND),Attribute to parent company (Bn. VND),Attribute to parent company YoY (%),Financial Income,Interest Expenses,Sales,Sales deductions,Net Sales,Cost of Sales,Gross Profit,Financial Expenses,Gain/(loss) from joint ventures,Selling Expenses,General & Admin Expenses,Operating Profit/Loss,Other income,Net income from associated companies,Other Income/Expenses,Net other income/expenses,Profit before tax,Business income tax - current,Business income tax - deferred,Net Profit For the Year,Minority Interest,Attributable to parent company
FPT,2025,0.11506880712320872,70207689409081,9369309781066,0.1925145307900735,2977156211981,-809759601156,70207689409081,-94863843843,70112825565238,-44217420808740,25895404756498,-1672045216743,658024835314,-7580840383875,-7330786998828,12946913204347,142891794416,0,-50935701459,91956092957,13038869297304,-1918759235400,105413134287,11225523196191,1856213415125,9369309781066
FPT,2024,0.19643597005693922,62962652134635,7856767812178,0.21524151439289263,1935749115305,-551639361786,62962652134635,-113857783268,62848794351367,-39150445981451,23698348369916,-1811547381981,392531256272,-6115961971783,-7074038614774,11025080772955,175450599740,0,-130864954876,44585644864,11069666417819,-1922927614658,280683727283,9427422530444,1570654718266,7856767812178
FPT,2023,0.19540153678395708,52625174861333,6465190432622,0.21752508848556798,2336069089819,-832648611261,52625174861333,-7274033948,52617900827385,-32298347382703,20319553444682,-1718298463710,42347008961,-5242551906960,-6625373638359,9111745534433,200956010920,0,-109695446783,91260564137,9203006098570,-1424017001796,9060642842,7788049739616,1322859306994,6465190432622
FPT,2022,0.23413827528742234,44023010881275,5310108591408,0.22425740016426637,1998503979865,-645725556308,44023010881275,-13483200364,44009527680911,-26842249039713,17167278641198,-1687369701824,483598048401,-4526440691815,-5846280653514,7589289622311,184323926142,0,-111330588573,72993337569,7662282959880,-1193613667231,22674161820,6491343454469,1181234863061,5310108591408
FPT,2021,0.19214665095503627,35671052233610,4337411879802,0.22594753883895297,1270789386267,-483995846804,35671052233610,-13789688583,35657262545027,-22025298308249,13631964236778,-1144187446845,686864681119,-3604610784981,-4612325935574,6228494136764,133219177622,0,-24506873428,108712304194,6337206440958,-954883280274,-33022061188,5349301099496,1011889219694,4337411879802
FPT,2020,0.07663058913597777,29921698144296,3538007738822,0.1284249968253022,821896424782,-385337754896,29921698144296,-91297617472,29830400526824,-18016743052097,11813657474727,-548165211617,312193572178,-2713561338553,-4495366457586,5190654463931,131401186949,0,-58599020913,72802166036,5263456629967,-942814118631,103102706262,4423745217598,885737478776,3538007738822
FPT,2019,0.19488504621919167,27791982176829,3135350376654,0.19661703151800708,650494541199,-358987537452,27791982176829,-75022024554,27716960152275,-17004910529153,10712049623122,-592386050061,404927466313,-2345957646507,-4219254770652,4609873163414,112683563071,0,-58026214779,54657348292,4664530511706,-761989612116,9171267283,3911712166873,776361790219,3135350376654
FPT,2018,-0.46281783475210614,23259126277266,2620178631986,-0.10620806847105642,600093309692,-238344431747,23259126277266,-45589419541,23213536857725,-14490657872236,8722878985489,-361046565710,439027114689,-2047833577540,-3553288111032,3799831155588,60448926027,0,-2677526409,57771399618,3857602555206,-599214896970,-24390517191,3233997141045,613818509059,2620178631986
FPT,2017,0.0,43298396301993,2931530862562,0.0,1583099974667,-368545679548,43298396301993,-639785460639,42658610841354,-32976206156753,9682404684601,-600871831217,71085355123,-3074637403520,-3441128714059,4219952065595,101847192667,0,-66681480755,35165711912,4255117777507,-698493915640,-28509947486,3528113914381,596583051819,2931530862562
FPT,2016,0.04495280504186443,40447137929383,1990642578391,0.030942453771686047,574759707458,-374186078800,40447137929383,-915669265439,39531468663944,-31093333588720,8438135075224,-694213959980,35133362370,-2638454515198,-2751158473432,2964201196442,99839840254,0,-50142370455,49697469799,3013898666241,-424741482194,-13466338768,2575690845279,585048266888,1990642578391
FPT,2015,0.17747427486848144,38707143264487,1930895920629,0.18308532795304228,452546690212,-262502327611,38707143264487,-747444508465,37959698756022,-30465878878610,7493819877412,-620411567508,34474687218,-2226870805958,-2331789496610,2801769384766,146796066673,0,-97416623718,49379442955,2851148827721,-497001075715,83937013159,2438084765165,507188844536,1930895920629
FPT,2014,0.21236911069589945,32873026689955,1632085087193,0.015162495237143058,367644565708,-166165287204,32873026689955,-228370331060,32644656358895,-26456135040231,6188521318664,-354076323129,40858599445,-1617818952335,-2236033596342,2389095612011,166755638459,0,-96627048433,70128590026,2459224202037,-399000144668,18900741566,2079124798935,447039711742,1632085087193
FPT,2013,0.0,27114701620108,1607708218980,0.0,385721360302,-132491172822,27114701620108,-86812893801,27027888726307,-21488735997741,5539152728566,-270555567201,0,-1356607364353,-1846473690787,2451237466527,204959308306,21520886281,-162087668902,42871639404,2515629992212,-477971353268,27654356365,2065312995309,457604776329,1607708218980
